index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
28,9448,1318,0.1395,0.09744409835641424,0.013467479738774895,0.9808987592352459,5513.499484649559,105.31468111263865,0.02767848969341872,0.9588110085154539,0.17679459506635856,0.2572726552408961,0.2315453897168065,False,False,0.31464108098672827,2.13134014054991,0.0008085682069180211,2.3053638308495805,0.11916167664860614
29,18954,9845,0.51942,0.029802953829770305,0.007194932276655225,0.9417179524521312,19317.306877730076,1125.8521979446375,0.020735234130096727,0.718289580403275,0.08620749794279339,0.7552906489344153,0.6797615840409739,False,False,0.30000209497644736,2.6384096133972315,0.006723338916131144,0.9607152478770786,0.0599682481809933
30,51765,1904,0.03678,0.11270779668604411,0.003400015053668707,0.9990899740849275,86504.42430446108,78.7212678854869,0.027964821769982336,0.9687298426043516,0.08135594011406609,0.08135594011406609,0.07322034610265948,False,False,0.3289265584952613,2.088207297907958,0.00022447804891988134,2.7803389616920215,0.6129073932610609
31,18712,6888,0.36811,0.03939071503550907,0.0098722217410143,0.9371880792101764,10260.53950753446,644.4841948081098,0.023284264868265746,0.8065905953745457,0.06918479492300353,0.11063084200570741,0.09956775780513667,False,False,0.3070699541298264,2.030058906977149,0.005239920928967841,2.70129672658459,0.013752117990144246
32,1633,969,0.59339,0.10442741178791237,0.02236008441211915,0.9541522688259407,2000.106506003087,91.7003454067165,0.027823971008766813,0.9638506291101508,0.05098966919724024,0.9452025421811394,0.8506822879630255,False,False,0.25661736215894426,2.8980206616055195,0.0005421495877388844,0.4479531361109236,0.1384329005553435
33,29087,12331,0.42394,0.04452321012680469,0.009414453314116139,0.9552887024706669,11282.615491047389,504.4603781292827,0.024221807313660117,0.8390680183680541,0.054297081691676345,0.9457029183083236,0.8511326264774913,False,False,0.18244378650295542,1.87460887475524,0.006811714852902679,0.44660212056752613,0.4225139204036469
34,37074,2108,0.05686,0.14394485561286954,0.004519300620722871,0.9990142877230499,48961.81825593281,48.26226535667258,0.02830395199299198,0.980477658137049,0.07131030046979381,0.3116251176828107,0.28046260591452965,False,False,0.22399207254966708,1.4799154806981023,0.00022454332434259614,2.158612182256411,0.7200777622511569
35,18731,1070,0.05712,0.15281047412514712,0.006258282598750505,0.9983227256942473,25532.28358903362,42.82464323107761,0.028365802319430384,0.9826202162941696,0.17086791060360884,0.22698264403188156,0.20428437962869342,False,False,0.31190025837641067,1.9834007740790813,0.0002196523334026936,2.3871468611139197,0.29141341008425664
36,1398,316,0.22604,0.2483645618317993,0.026932184022692436,0.9882411759969062,1378.6589784111559,16.211408287421882,0.028674474234628378,0.99331292509402,0.02131611401126862,0.7114159202951985,0.6402743282656788,False,False,0.2211672329859155,2.732727210442849,0.00011031440528831673,1.0791770152029638,0.1280915989823584
37,94207,10509,0.11155,0.044760691563356186,0.0036774255276350275,0.9932501488261026,73945.58124050034,499.12166834071456,0.024259830424257646,0.8403851775563888,0.005256729468375077,0.13205472799554668,0.11884925519599203,False,False,0.23863652704975447,1.9075388098080812,0.004867949238189789,2.643452234412024,0.976082532824974
38,492,173,0.35163,0.31879952206713774,0.07067027404993005,0.9508596520119865,200.22875597586975,9.839310745861273,0.028749887799636442,0.9959253276174973,0.029883119559371583,0.9608132001568583,0.8647318801411726,False,False,0.22511979366793924,1.7377759239733237,0.00011475357891398904,0.4058043595764822,0.015863052117929054
39,27223,4208,0.15458,0.05533088407990787,0.008016743099793005,0.979007666638788,15559.80201582028,326.6365509505575,0.025593646781428753,0.8865899315281246,0.07959076355379097,0.11276649085208212,0.10148984176687392,False,False,0.3340818472892418,1.6116286244660292,0.0031763673309304808,2.6955304746993782,0.1802876485646885
40,3071,1518,0.4943,0.077800880919799,0.017826905692183495,0.9474971468116895,3146.64729558332,165.2079609954053,0.02706453650331531,0.9375430461408919,0.10254187917747316,0.8974581208225267,0.8077123087402741,False,False,0.29389368245746234,2.6881291536698475,0.0009830049640796304,0.5768630737791776,0.43401611270189855
41,1229,356,0.28967,0.3204247466291536,0.044182618081496365,0.9809869935960809,512.2678570995142,9.739752047554989,0.02875107079891923,0.9959663079147594,0.039479387360148555,0.9370474680260975,0.8433427212234879,False,False,0.1896786451100067,1.078958774720297,0.00015305612152168778,0.46997183632953643,0.3843748390326023
42,14066,1700,0.12086,0.1375548591729211,0.007342515756646472,0.9971507018169874,18548.56112951899,52.85038152383669,0.028252077909317587,0.9786806871666464,0.004622184753389047,0.6665673796158744,0.599910641654287,False,False,0.24218656635168104,1.009244369506778,0.0005056738221372064,1.200268075037139,0.9376239694293127
43,24505,1917,0.07823,0.16723316767493152,0.006170090328610379,0.9986387489997565,26267.392036660873,35.75651368369368,0.028446808282645036,0.9854263451742463,0.00742779117627851,0.14364822089335808,0.1292833988040223,False,False,0.1514855582352557,2.213277191672727,0.00041949210264740277,2.612149803587933,0.29961897105340807
44,18425,3073,0.16678,0.07175134867493566,0.00937679787194421,0.9829215296005108,11373.415131451047,194.24053366358902,0.026781268755934846,0.927730363528721,0.21263681320246564,0.4963075773254669,0.4466768195929202,False,False,0.30031626891427554,1.5835162562911729,0.0019366939216324318,1.6599695412212394,0.37560068323374146
45,34539,12442,0.36023,0.030736695215635837,0.0102235701047661,0.8893654388842221,9567.420039703266,1058.4873171028687,0.021042201349144442,0.7289232367962504,0.05026108140855326,0.4184138445997909,0.3765724601398119,False,False,0.2790249358383281,2.3078189723551406,0.00793373768474547,1.8702826195805644,0.26257327600628194
46,13847,8191,0.59154,0.04352309985445802,0.00811998780056247,0.9651926376574992,15166.635395094827,527.9105737136637,0.02405688371206929,0.8333548972216029,0.016993346631856924,0.983006653368143,0.8847059880313287,False,False,0.2020162099872446,2.6765862525583954,0.004206866444613493,0.3458820359060137,0.22969802317244278
47,17296,9257,0.53521,0.04692637054527614,0.008847469986932168,0.9644528927179197,12775.02632878662,454.11523144077876,0.024587655504542782,0.8517413714573727,0.10983616954899231,0.5317776404534376,0.47859987640809387,False,False,0.17822447439309963,2.400869119319987,0.004684630003870807,1.5642003707757184,0.01658335275918918
48,21022,9509,0.45234,0.03913901900272327,0.008959020316332446,0.9476036335738929,12458.878687779204,652.7999729832959,0.023231953627608038,0.8047784808420234,0.10925392327633528,0.6094054400713994,0.5484648960642595,False,False,0.2363308095124056,2.1474624969864307,0.005861858473758246,1.3546053118072214,0.01653894666003802
49,6334,1412,0.22292,0.1287499962449194,0.024683695691480788,0.9632441968272955,1641.2684935766722,60.32614170346546,0.028168163166224076,0.9757737951958054,0.1594579504214394,0.2959095119594533,0.26631856076350796,False,False,0.18189159008428787,2.4392844522124615,0.0006049647395801053,2.201044317709476,0.08030670049080509
50,20673,8632,0.41755,0.03783641245723148,0.00877231203756184,0.9462463151573406,12994.867543261083,698.5220144925601,0.022950501573335776,0.7950286956841397,0.13056244754880916,0.777241929524126,0.6995177365717135,False,False,0.2648421403972062,2.2193133482533813,0.005481193132294902,0.90144679028486,0.5378609676576928
51,20987,1006,0.04793,0.14091959330782267,0.005811467511337555,0.9982992954789548,29609.315765659816,50.3566971877127,0.028280236542937865,0.9796561308486872,0.016450682987948217,0.3472368700340568,0.3125131830306511,False,False,0.34670986340241033,2.5858985870363593,0.00016479758129607082,2.0624604509080466,0.4656533913543341
52,9078,3730,0.41088,0.04855417445305178,0.01077644493510697,0.9507396061889823,8610.908447111176,424.17674117531504,0.024813233164335025,0.8595556108136257,0.03683787693465746,0.8645293565886559,0.7780764209297905,False,False,0.34024876789561653,2.4379057696617443,0.002708776423404566,0.6657707372106287,0.8439646302301346
53,15994,8073,0.50475,0.03336768834307545,0.008487484250687106,0.9352997853024373,13881.680266195857,898.1476935857914,0.021831419356751005,0.7562625505447073,0.12860668150144358,0.44554894287632635,0.40099404858869375,False,False,0.2977858963062193,2.612396983714209,0.005530783225620117,1.7970178542339188,0.02205649662787377
54,4176,533,0.12763,0.1779247914415693,0.01956627441607984,0.9879067411305544,2612.0634342212124,31.588359293450125,0.028494904927714528,0.9870924618329256,0.08731367062613393,0.41786992306751747,0.37608293076076577,False,False,0.24015832765909143,2.825372658747732,0.00019654230261097728,1.8717512077177028,0.09584473930520965
55,20157,6780,0.33636,0.039071513398252114,0.015216397667340072,0.8483287618032873,4318.931347670255,655.0576651877445,0.023217812134862882,0.8042886051634339,0.1435532402759403,0.4594595310939132,0.4135135779845219,False,False,0.2732602787610131,2.7128935194481194,0.004073505021527913,1.7594592660464343,0.28063906813585265
56,11323,955,0.08434,0.14983111256683476,0.009420565398483842,0.9960467896028066,11267.979866951766,44.54469516539996,0.028346193733631283,0.9819409549567973,0.047394601568027925,0.047394601568027925,0.04265514141122514,False,False,0.27011852177863,1.2538939175867132,0.0005225466316716511,2.8720345757663246,0.0924432944179573
57,55841,5808,0.10401,0.0489957921068336,0.004555537377346148,0.9913550663952031,48185.98836331387,416.56467008236444,0.024871584763547797,0.8615769695044141,0.06534643155146791,0.11614941136661118,0.10453447022995006,False,False,0.3369307136897064,1.6218493329526265,0.0038889219857020725,2.68639658931015,0.5164143118367115
58,972,241,0.24794,0.3608200582355097,0.05297043571973311,0.9784480909259509,356.3960724067246,7.681015746857961,0.028775566368586962,0.9968148593392565,0.04800924396199401,0.7080429466562819,0.6372386519906538,False,False,0.20173601937332708,1.180426378778073,0.0001247436616512092,1.0882840440280388,0.020446456240454693
