index,total_counts,soft_counts,soft_frac,sigma_eff_marginal,sigma_eff_conditional,absorbed_fraction_I,bnorm2,R_residual_power,sigma_post_pred,shrink_pred,min_prior_edge_margin,kT_ceiling_margin_frac_range,kT_ceiling_margin_frac_value,rank_deficient,already_run_ns,theta_tbabs_1_nh,theta_powerlaw_1_alpha,theta_powerlaw_1_norm,theta_blackbodyrad_1_kT,theta_blackbodyrad_1_norm
28,1006,151,0.1501,0.3078305063914068,0.04258786764690498,0.9808597115735757,551.3510532866499,10.553018184119336,0.028741411494298933,0.9956316997873966,0.17679459506635856,0.2572726552408961,0.2315453897168065,False,False,0.31464108098672827,2.13134014054991,0.0008085682069180211,2.3053638308495805,0.11916167664860614
29,1825,978,0.53589,0.09423232255865392,0.02275242599070442,0.9417017350053646,1931.7217924432102,112.61602895176638,0.02760140237711926,0.956140625546458,0.08620749794279339,0.7552906489344153,0.6797615840409739,False,False,0.30000209497644736,2.6384096133972315,0.006723338916131144,0.9607152478770786,0.0599682481809933
30,5124,187,0.03649,0.35569220284057274,0.010751780401762933,0.9990862822091734,8650.460527708141,7.904079683010248,0.02877290925053659,0.9967228140699576,0.08135594011406609,0.08135594011406609,0.07322034610265948,False,False,0.3289265584952613,2.088207297907958,0.00022447804891988134,2.7803389616920215,0.6129073932610609
31,1844,675,0.36605,0.12477689661991323,0.03121867139222979,0.9374019978149369,1026.0562432453485,64.22907095666991,0.02812464916538711,0.9742664259900009,0.06918479492300353,0.11063084200570741,0.09956775780513667,False,False,0.3070699541298264,2.030058906977149,0.005239920928967841,2.70129672658459,0.013752117990144246
32,169,95,0.56213,0.33100713583546626,0.07070878434717028,0.9543677347028608,200.01071321964932,9.126941927909055,0.028758355689645226,0.9962186639320597,0.05098966919724024,0.9452025421811394,0.8506822879630255,False,False,0.25661736215894426,2.8980206616055195,0.0005421495877388844,0.4479531361109236,0.1384329005553435
33,2940,1249,0.42483,0.14274231561123776,0.029771145348983747,0.9565003652244697,1128.2592789463301,49.078866566268545,0.028294698445878508,0.9801571058620336,0.054297081691676345,0.9457029183083236,0.8511326264774913,False,False,0.18244378650295542,1.87460887475524,0.006811714852902679,0.44660212056752613,0.4225139204036469
34,3701,202,0.05458,0.4550204641389015,0.014291269321593426,0.9990135393881017,4896.1914669673015,4.829900030475956,0.028809593574598207,0.9979935963322784,0.07131030046979381,0.3116251176828107,0.28046260591452965,False,False,0.22399207254966708,1.4799154806981023,0.00022454332434259614,2.158612182256411,0.7200777622511569
35,1889,125,0.06617,0.48393269470365624,0.01979042537994938,0.9983275993417468,2553.228842213022,4.270021596388236,0.02881628974553371,0.9982255584978075,0.17086791060360884,0.22698264403188156,0.20428437962869342,False,False,0.31190025837641067,1.9834007740790813,0.0002196523334026936,2.3871468611139197,0.29141341008425664
36,146,22,0.15068,0.7843160415869365,0.08516717092198925,0.9882086848561439,137.86548652059477,1.6256153990253805,0.028847980188895287,0.9993233476581401,0.02131611401126862,0.7114159202951985,0.6402743282656788,False,False,0.2211672329859155,2.732727210442849,0.00011031440528831673,1.0791770152029638,0.1280915989823584
37,9503,1053,0.11081,0.14156415144873735,0.01162906582514312,0.9932518756412851,7394.526035394291,49.89918126059542,0.028285411950293785,0.9798354122184936,0.005256729468375077,0.13205472799554668,0.11884925519599203,False,False,0.23863652704975447,1.9075388098080812,0.004867949238189789,2.643452234412024,0.976082532824974
38,60,26,0.43333,1.012717128662409,0.22347879321334044,0.9513036596679316,20.02291782484019,0.9750428208394561,0.028855792659276618,0.999593979570802,0.029883119559371583,0.9608132001568583,0.8647318801411726,False,False,0.22511979366793924,1.7377759239733237,0.00011475357891398904,0.4058043595764822,0.015863052117929054
